binaryname,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,g_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag,r_mean_psf_mag_error,i_mean_psf_mag,i_mean_psf_mag_error,z_mean_psf_mag,z_mean_psf_mag_error,y_mean_psf_mag,y_mean_psf_mag_error
HD 194495,1817160775586294784,306.2950129249474,0.04922615245155975,21.488560491257058,0.058907556902788136,1.4527873446601571,0.06999904317099993,7.021595,2.9289248842384674E7,30458.665328709318,7.014668,2.1611657604626905E7,156803.92899974913,7.1071005,1.15326135844048E7,63038.602494172235,7.159,0.019,7.221,0.023,7.249,0.018,7.221,0.036,7.294,0.02,7.269,0.018,6.18,0.046,7.2262601852417,0.00100000004749745,7.26075983047485,0.00100000004749745,8.36089038848877,0.00100000004749745,12.336199760437,0.00100000004749745,7.60184001922607,0.153582006692886
NP Per,166437168205381376,63.74067017673613,0.05796533656917205,31.445558272155722,0.028705356747659196,3.3817878764552223,0.06407936617548093,11.291617,573719.1676465449,818.483106767708,11.751066,275504.6279422654,345.63256704064895,10.699198,421782.93490003084,623.4295302304542,9.895,0.021,9.532,0.022,9.409,0.017,9.375,0.023,9.374,0.02,9.278,0.039,8.44,,11.9651002883911,0.05103699862957,11.7447996139526,0.00100000004749745,11.3563995361328,0.00133799994364381,11.3016996383667,0.0,10.9327001571655,0.00374699989333749
V501 Her,4600517286689143552,263.93100808848794,0.01735086671391768,30.64294368249794,0.018259956496838946,2.3093854846849684,0.022373999288057632,10.978694,765365.2687321557,442.7077011229443,11.364072,393483.62603717897,503.20169278993234,10.464085,523762.10223944543,549.6142191688341,9.88,0.021,9.584,0.019,9.483,0.019,9.419,0.024,9.462,0.02,9.422,0.036,8.408,,11.0509996414185,0.0241490006446838,10.9995002746582,0.0792879983782768,11.0945997238159,0.119046002626419,11.7218999862671,0.0573239997029305,10.8587999343872,0.00107400002889335
DI Her,4534148428383399424,283.35932662525175,0.021682196259036023,24.277980782192593,0.032547787630384184,1.5373894754656725,0.039159155577004404,8.4232435,8054693.639392767,4533.44622538861,8.437938,5826129.958662665,7034.900052306735,8.40014,3505193.9979862287,3855.520144322197,8.39,0.027,8.397,0.034,8.45,0.026,8.467,0.023,8.497,0.02,8.549,0.024,8.749,0.417,,,,,,,,,,
CF Tau,53192796302413952,61.29217881677082,0.08921821457775447,22.496673444057148,0.037460167579178,3.6786932753210575,0.09236661707385535,9.803784,2258565.0195410703,2158.5513821912723,10.368751,984135.8830825379,5906.4421508177875,9.13458,1782116.6495939163,12103.14715377055,8.243,0.029,7.846,0.027,7.71,0.017,7.707,0.031,7.709,0.02,7.656,0.02,7.7,0.189,,,,,,,,,,
TX Cnc,661190015991474688,130.00693505219215,0.04829902074486781,18.99978595012777,0.03251189675763094,5.323903130731601,0.05891701068988439,10.039619,1817601.612324317,10825.541205293031,10.389878,965170.4955607887,17979.253104272848,9.570685,1192597.260020377,21799.692676766517,9.053,0.02,8.767,0.027,8.698,0.018,8.605,0.023,8.626,0.019,8.584,0.03,7.935,,,,,,,,,,,
V442 Cyg,1861738069358924672,306.967991269316,0.022441831934828058,30.79125826809566,0.026778810704198765,2.937277365295112,0.03437560606330599,9.589,2752619.8759981715,1546.9375464587151,9.834344,1609969.8086251311,1734.7601562059724,9.228348,1634665.201594438,3593.405249374873,9.154,0.02,8.98,0.018,8.948,0.016,8.624,0.023,8.671,0.02,8.632,0.023,8.647,0.349,,,,,,,,,,
V885 Cyg,2032636398639228160,293.20773078450964,0.021746416613385236,30.021359059501236,0.027572815904186095,1.0373776239219938,0.0307214780507433,10.028468,1836365.852658186,8203.660417314539,10.134519,1221089.9713249272,18252.105900234244,9.869066,906027.6178025231,11720.628716502539,9.568,0.021,9.575,0.024,9.518,0.02,9.497,0.023,9.526,0.019,9.528,0.038,8.44,,,,,,,,,,,
BP Vul,1817081365931079424,306.38855205322596,0.03649386477112937,21.03835499213355,0.03174725679100294,2.4115592211072485,0.04479870223445052,9.761383,2348512.507388286,3883.1593044108554,9.896471,1520431.3414220978,7148.299034588737,9.546873,1219042.7780655767,5164.370370605544,9.298,0.02,9.205,0.02,9.158,0.014,9.17,0.023,9.203,0.02,9.206,0.033,8.913,0.407,10.0971002578735,0.00100000004749745,10.1794996261597,0.129591003060341,10.2109003067017,0.258085012435913,13.4040002822876,0.0018729999428615,10.8598003387451,0.285003006458282
AD Boo,1255014320341785216,218.8031398507237,0.04610050257986588,24.639235432509036,0.0643644952495595,5.117784865514731,0.07263587076733277,9.270625,3690593.431691451,2062.7903288648076,9.535959,2119198.171052255,3864.1420189688106,8.858296,2298526.36835382,3814.518466769101,8.389,0.019,8.157,0.023,8.106,0.023,8.127,0.024,8.151,0.02,8.144,0.019,8.038,0.165,,,,,,,,,,
